performance_score,avg_training_score,training_efficiency,score_per_age,previous_year_rating,award_score,recruitment_channel_sourcing,gender_m,awards_won?,department_Sales & Marketing,joining_age,length_of_service,training_frequency,region_region_2,education_Master's & above,no_of_trainings,department_Operations,age,experience_ratio,department_Procurement,is_promoted
276.0,69,69.0,2.091,4.0,0,0,1,0,0,28,5,0.167,0,0,1,0,33,0.152,1,0
320.0,80,80.0,3.077,4.0,0,0,0,0,0,23,3,0.25,0,0,1,0,26,0.115,0,1
258.0,86,43.0,2.867,3.0,0,0,1,0,0,28,2,0.667,0,0,2,0,30,0.067,0,0
104.0,52,52.0,1.857,2.0,0,0,0,0,1,23,5,0.167,0,0,1,0,28,0.179,0,0
255.0,85,42.5,2.656,3.0,0,1,1,0,0,24,8,0.222,1,1,2,0,32,0.25,0,0
85.0,85,85.0,2.833,1.0,0,0,1,0,0,28,2,0.333,0,0,1,0,30,0.067,0,0
92.0,46,46.0,1.243,2.0,0,1,1,0,1,34,3,0.25,0,0,1,0,37,0.081,0,0
47.0,47,47.0,1.469,1.0,0,0,1,0,1,24,8,0.111,0,0,1,0,32,0.25,0,0
265.0,53,53.0,0.964,5.0,0,0,0,0,0,51,4,0.2,1,0,1,0,55,0.073,0,0
300.0,60,60.0,1.364,5.0,60,0,0,1,0,38,6,0.143,1,1,1,1,44,0.136,0,0
52.0,52,52.0,1.857,1.0,0,0,1,0,1,24,4,0.2,0,0,1,0,28,0.143,0,0
168.0,56,56.0,1.244,3.0,0,0,1,0,0,39,6,0.143,1,1,1,1,45,0.133,0,0
312.0,78,78.0,3.0,4.0,0,1,0,0,0,23,3,0.25,0,0,1,0,26,0.115,0,0
248.0,62,62.0,1.879,4.0,0,1,0,0,0,27,6,0.143,0,0,1,1,33,0.182,0,0
138.0,46,46.0,1.095,3.0,0,1,0,0,1,28,14,0.067,1,1,1,0,42,0.333,0,0
265.0,53,53.0,1.767,5.0,0,1,1,0,1,25,5,0.167,1,0,1,0,30,0.167,0,0
50.0,50,25.0,1.429,1.0,0,1,1,0,1,29,6,0.286,0,1,2,0,35,0.171,0,0
290.0,58,58.0,1.568,5.0,0,0,1,0,0,32,5,0.167,0,1,1,0,37,0.135,0,0
210.0,70,70.0,2.059,3.0,0,0,1,0,0,29,5,0.167,0,0,1,0,34,0.147,1,0
201.0,67,67.0,2.03,3.0,0,0,1,0,0,27,6,0.143,0,0,1,0,33,0.182,1,0
141.0,47,47.0,1.741,3.0,0,0,1,0,1,26,1,0.5,0,0,1,0,27,0.037,0,0
210.0,70,35.0,2.258,3.0,0,0,1,0,0,27,4,0.4,0,0,2,0,31,0.129,1,0
235.0,47,23.5,1.044,5.0,0,1,1,0,1,32,13,0.143,0,1,2,0,45,0.289,0,0
336.0,84,84.0,2.8,4.0,0,1,1,0,0,26,4,0.2,0,0,1,0,30,0.133,0,0
135.0,45,22.5,1.8,3.0,0,1,1,0,1,24,1,1.0,1,0,2,0,25,0.04,0,0
316.0,79,79.0,2.548,4.0,0,0,0,0,0,29,2,0.333,0,0,1,0,31,0.065,0,0
196.0,49,49.0,1.531,4.0,0,1,1,0,1,30,2,0.333,0,0,1,0,32,0.062,0,0
67.0,67,67.0,2.481,1.0,0,1,1,0,0,23,4,0.2,0,0,1,1,27,0.148,0,0
51.0,51,51.0,1.594,1.0,0,0,1,0,1,22,10,0.091,0,0,1,0,32,0.312,0,0
183.0,61,61.0,1.245,3.0,0,0,1,0,0,31,18,0.053,0,0,1,1,49,0.367,0,0
64.0,64,21.333,1.684,1.0,0,1,1,0,0,28,10,0.273,0,0,3,0,38,0.263,1,0
237.0,79,79.0,2.724,3.0,0,1,0,0,0,28,1,0.5,0,0,1,0,29,0.034,0,1
490.0,98,98.0,2.649,5.0,98,0,0,1,1,34,3,0.25,0,1,1,0,37,0.081,0,1
144.0,48,48.0,1.548,3.0,0,0,1,0,1,30,1,0.5,0,0,1,0,31,0.032,0,0
300.0,60,60.0,1.935,5.0,0,0,1,0,0,28,3,0.25,0,1,1,1,31,0.097,0,1
246.0,82,82.0,1.64,3.0,0,0,0,0,0,34,16,0.059,1,0,1,0,50,0.32,0,0
156.0,52,52.0,1.368,3.0,0,1,1,0,1,31,7,0.125,0,0,1,0,38,0.184,0,0
400.0,80,80.0,2.963,5.0,0,0,0,0,0,25,2,0.333,0,0,1,0,27,0.074,0,0
201.0,67,67.0,1.718,3.0,0,0,1,0,0,33,6,0.143,0,1,1,0,39,0.154,1,0
248.0,62,62.0,1.824,4.0,0,1,0,0,0,28,6,0.143,0,0,1,1,34,0.176,0,0
54.0,54,54.0,1.862,1.0,0,0,0,0,1,28,1,0.5,0,0,1,0,29,0.034,0,0
260.0,52,52.0,2.364,5.0,52,1,1,1,0,20,2,0.333,1,0,1,0,22,0.091,0,1
316.0,79,39.5,2.469,4.0,0,0,1,0,0,30,2,0.667,0,0,2,0,32,0.062,0,0
380.0,95,95.0,2.436,4.0,0,1,1,0,0,30,9,0.1,0,1,1,0,39,0.231,0,1
158.0,79,79.0,2.394,2.0,0,1,1,0,0,26,7,0.125,0,1,1,0,33,0.212,0,0
180.0,60,60.0,1.667,3.0,0,0,0,0,0,28,8,0.111,0,0,1,1,36,0.222,0,0
296.0,74,37.0,2.387,4.0,0,0,0,0,0,28,3,0.5,0,0,2,0,31,0.097,0,0
249.0,83,41.5,2.371,3.0,0,1,1,0,0,25,10,0.182,0,1,2,0,35,0.286,0,0
250.0,50,50.0,1.429,5.0,0,1,1,0,1,29,6,0.143,1,0,1,0,35,0.171,0,0
100.0,50,50.0,1.19,2.0,0,1,1,0,1,39,3,0.25,0,0,1,0,42,0.071,0,0
198.0,66,66.0,2.357,3.0,0,0,1,0,0,25,3,0.25,0,0,1,1,28,0.107,0,0
250.0,50,25.0,1.389,5.0,0,1,1,0,1,27,9,0.2,0,0,2,0,36,0.25,0,0
138.0,46,46.0,0.958,3.0,0,0,1,0,0,28,20,0.048,1,1,1,0,48,0.417,0,0
410.0,82,82.0,2.828,5.0,0,1,0,0,0,24,5,0.167,0,0,1,0,29,0.172,0,0
290.0,58,58.0,1.349,5.0,0,1,1,0,0,38,5,0.167,0,0,1,1,43,0.116,0,0
425.0,85,42.5,2.361,5.0,0,1,1,0,0,33,3,0.5,0,0,2,0,36,0.083,0,0
142.0,71,71.0,2.63,2.0,0,0,1,0,0,25,2,0.333,0,0,1,0,27,0.074,1,0
234.0,78,78.0,2.6,3.0,0,1,1,0,0,24,6,0.143,0,1,1,0,30,0.2,0,0
104.0,52,52.0,2.08,2.0,0,0,1,0,1,23,2,0.333,0,0,1,0,25,0.08,0,0
150.0,50,50.0,1.389,3.0,0,1,0,0,0,27,9,0.1,1,1,1,0,36,0.25,0,1
83.0,83,41.5,2.024,1.0,0,0,0,0,0,34,7,0.25,0,1,2,0,41,0.171,0,0
156.0,52,52.0,1.625,3.0,0,1,1,0,0,25,7,0.125,0,0,1,1,32,0.219,0,0
237.0,79,79.0,2.724,3.0,0,1,0,0,0,25,4,0.2,0,0,1,0,29,0.138,0,0
300.0,60,60.0,2.143,5.0,0,0,1,0,0,26,2,0.333,0,0,1,0,28,0.071,0,1
158.0,79,79.0,2.633,2.0,0,1,0,0,0,27,3,0.25,0,0,1,0,30,0.1,0,0
370.0,74,74.0,1.48,5.0,0,0,0,0,0,41,9,0.1,1,1,1,0,50,0.18,1,1
240.0,80,80.0,1.905,3.0,0,0,0,0,0,36,6,0.143,1,1,1,0,42,0.143,0,0
237.0,79,79.0,2.257,3.0,0,1,0,0,0,29,6,0.143,0,0,1,0,35,0.171,0,0
150.0,50,50.0,2.273,3.0,0,0,1,0,0,20,2,0.333,0,0,1,0,22,0.091,0,0
150.0,50,50.0,1.724,3.0,0,1,1,0,1,27,2,0.333,0,0,1,0,29,0.069,0,0
140.0,70,17.5,2.121,2.0,0,0,1,0,0,29,4,0.8,0,1,4,0,33,0.121,1,0
248.0,62,62.0,2.214,4.0,0,0,1,0,0,21,7,0.125,0,0,1,1,28,0.25,0,0
350.0,70,35.0,2.0,5.0,0,1,0,0,0,32,3,0.5,0,1,2,0,35,0.086,1,0
258.0,86,86.0,3.308,3.0,0,0,1,0,0,25,1,0.5,0,0,1,0,26,0.038,0,0
146.0,73,73.0,2.147,2.0,0,1,1,0,0,29,5,0.167,1,1,1,0,34,0.147,1,0
156.0,78,39.0,1.345,2.0,0,0,0,0,0,40,18,0.105,1,0,2,0,58,0.31,0,0
81.0,81,81.0,2.893,1.0,0,0,0,0,0,26,2,0.333,0,0,1,0,28,0.071,0,0
49.0,49,49.0,1.581,1.0,0,0,0,0,1,22,9,0.1,0,0,1,0,31,0.29,0,0
144.0,48,24.0,1.92,3.0,0,0,1,0,1,24,1,1.0,0,0,2,0,25,0.04,0,0
312.0,78,78.0,2.167,4.0,0,1,1,0,0,29,7,0.125,0,1,1,0,36,0.194,0,0
232.0,58,58.0,2.636,4.0,0,0,0,0,0,20,2,0.333,1,0,1,1,22,0.091,0,0
300.0,60,60.0,1.875,5.0,0,1,0,0,0,29,3,0.25,0,0,1,1,32,0.094,0,0
198.0,66,66.0,2.357,3.0,0,1,0,0,0,24,4,0.2,0,0,1,0,28,0.143,1,0
230.0,46,46.0,1.438,5.0,0,1,1,0,1,27,5,0.167,0,0,1,0,32,0.156,0,0
249.0,83,41.5,2.767,3.0,0,0,1,0,0,24,6,0.286,0,1,2,0,30,0.2,0,0
82.0,82,82.0,2.828,1.0,0,0,1,0,0,23,6,0.143,0,0,1,0,29,0.207,0,0
220.0,44,44.0,1.158,5.0,0,1,1,0,1,29,9,0.1,1,0,1,0,38,0.237,0,0
316.0,79,79.0,1.881,4.0,0,1,1,0,0,30,12,0.077,0,1,1,0,42,0.286,0,0
245.0,49,49.0,1.441,5.0,0,0,0,0,1,32,2,0.333,0,1,1,0,34,0.059,0,0
344.0,86,86.0,2.389,4.0,0,1,0,0,0,28,8,0.111,1,0,1,0,36,0.222,0,0
180.0,60,60.0,1.818,3.0,0,0,0,0,0,27,6,0.143,0,0,1,1,33,0.182,0,0
188.0,47,47.0,1.516,4.0,0,0,1,0,1,28,3,0.25,0,1,1,0,31,0.097,0,0
144.0,48,48.0,1.5,3.0,0,1,0,0,0,27,5,0.167,0,1,1,0,32,0.156,0,0
315.0,63,63.0,1.537,5.0,0,0,1,0,0,38,3,0.25,0,1,1,1,41,0.073,0,0
79.0,79,79.0,1.646,1.0,0,0,0,0,0,32,16,0.059,0,1,1,0,48,0.333,0,0
153.0,51,51.0,1.645,3.0,0,1,1,0,1,29,2,0.333,0,0,1,0,31,0.065,0,0
267.0,89,89.0,2.119,3.0,0,0,1,0,0,40,2,0.333,0,0,1,0,42,0.048,0,0
156.0,52,52.0,1.209,3.0,0,0,1,0,1,30,13,0.071,0,0,1,0,43,0.302,0,0
328.0,82,41.0,2.828,4.0,0,1,1,0,0,26,3,0.5,0,0,2,0,29,0.103,0,0
150.0,50,50.0,1.786,3.0,0,1,1,0,1,27,1,0.5,0,0,1,0,28,0.036,0,0
150.0,50,50.0,1.351,3.0,0,0,1,0,1,29,8,0.111,0,1,1,0,37,0.216,0,0
177.0,59,59.0,2.107,3.0,0,0,1,0,0,27,1,0.5,1,0,1,0,28,0.036,0,0
270.0,54,54.0,1.8,5.0,0,0,0,0,1,24,6,0.143,0,0,1,0,30,0.2,0,0
300.0,60,60.0,1.25,5.0,0,0,1,0,0,43,5,0.167,0,0,1,1,48,0.104,0,0
165.0,55,55.0,1.667,3.0,0,0,0,0,0,26,7,0.125,0,1,1,1,33,0.212,0,0
144.0,48,24.0,1.92,3.0,0,0,1,0,1,24,1,1.0,0,0,2,0,25,0.04,0,0
192.0,64,64.0,1.455,3.0,0,0,0,0,0,30,14,0.067,0,0,1,1,44,0.318,0,0
425.0,85,42.5,3.036,5.0,0,1,1,0,0,24,4,0.4,1,0,2,0,28,0.143,0,0
166.0,83,83.0,2.184,2.0,0,0,1,0,0,28,10,0.091,0,0,1,0,38,0.263,0,0
320.0,64,64.0,1.778,5.0,0,1,0,0,0,27,9,0.1,0,0,1,1,36,0.25,0,0
192.0,64,21.333,1.882,3.0,0,1,1,0,0,24,10,0.273,1,0,3,1,34,0.294,0,0
60.0,60,30.0,1.667,1.0,0,0,0,0,0,29,7,0.25,1,1,2,1,36,0.194,0,0
150.0,50,50.0,2.0,3.0,0,0,1,0,1,23,2,0.333,0,0,1,0,25,0.08,0,0
80.0,80,80.0,1.481,1.0,0,1,1,0,0,30,24,0.04,1,1,1,0,54,0.444,0,0
216.0,72,72.0,1.469,3.0,0,1,0,0,0,34,15,0.062,0,0,1,0,49,0.306,1,0
132.0,44,44.0,1.294,3.0,0,0,0,0,1,32,2,0.333,0,1,1,0,34,0.059,0,0
285.0,57,57.0,1.0,5.0,0,1,0,0,0,42,15,0.062,1,0,1,1,57,0.263,0,0
196.0,49,49.0,1.815,4.0,0,1,1,0,1,21,6,0.143,0,0,1,0,27,0.222,0,1
275.0,55,55.0,0.948,5.0,0,0,1,0,0,32,26,0.037,1,1,1,1,58,0.448,0,0
158.0,79,79.0,2.724,2.0,0,0,0,0,0,26,3,0.25,1,0,1,0,29,0.103,0,0
235.0,47,47.0,1.382,5.0,0,0,0,0,1,30,4,0.2,1,0,1,0,34,0.118,0,0
183.0,61,61.0,2.033,3.0,0,1,1,0,0,29,1,0.5,0,1,1,1,30,0.033,0,1
156.0,78,78.0,2.438,2.0,0,0,0,0,0,25,7,0.125,1,0,1,0,32,0.219,0,0
261.0,87,87.0,3.346,3.0,0,1,1,0,0,24,2,0.333,0,0,1,0,26,0.077,0,0
144.0,48,48.0,1.6,3.0,0,0,1,0,1,29,1,0.5,0,0,1,0,30,0.033,0,0
47.0,47,47.0,0.797,1.0,0,0,0,0,1,54,5,0.167,1,1,1,0,59,0.085,0,0
320.0,80,40.0,2.051,4.0,80,0,1,1,0,32,7,0.25,0,1,2,0,39,0.179,0,0
144.0,48,24.0,1.778,3.0,0,0,1,0,1,26,1,1.0,0,0,2,0,27,0.037,0,0
201.0,67,67.0,1.396,3.0,0,0,0,0,0,33,15,0.062,0,0,1,0,48,0.312,1,0
290.0,58,58.0,1.318,5.0,0,0,1,0,0,40,4,0.2,0,0,1,1,44,0.091,0,0
249.0,83,41.5,2.243,3.0,0,1,1,0,0,29,8,0.222,0,0,2,0,37,0.216,0,1
51.0,51,51.0,1.133,1.0,0,1,1,0,0,43,2,0.333,1,1,1,0,45,0.044,0,0
261.0,87,87.0,1.776,3.0,87,0,1,1,0,43,6,0.143,0,1,1,0,49,0.122,0,0
246.0,82,82.0,3.565,3.0,0,0,1,0,0,22,1,0.5,1,0,1,0,23,0.043,0,0
183.0,61,61.0,2.103,3.0,0,0,0,0,0,28,1,0.5,0,0,1,1,29,0.034,0,0
228.0,57,57.0,1.629,4.0,0,1,0,0,0,28,7,0.125,0,1,1,1,35,0.2,0,0
207.0,69,34.5,2.464,3.0,0,1,0,0,0,25,3,0.5,0,0,2,0,28,0.107,1,0
280.0,56,56.0,1.806,5.0,0,1,0,0,1,27,4,0.2,1,0,1,0,31,0.129,0,0
237.0,79,79.0,2.821,3.0,0,0,0,0,0,27,1,0.5,0,0,1,0,28,0.036,0,0
420.0,84,84.0,3.111,5.0,0,0,1,0,0,25,2,0.333,0,0,1,0,27,0.074,0,0
415.0,83,83.0,2.677,5.0,0,1,1,0,0,28,3,0.25,0,1,1,0,31,0.097,0,0
186.0,62,31.0,2.296,3.0,0,0,1,0,0,25,2,0.667,0,0,2,0,27,0.074,0,0
49.0,49,24.5,1.324,1.0,0,0,1,0,1,34,3,0.5,0,1,2,0,37,0.081,0,0
320.0,64,64.0,1.829,5.0,0,1,0,0,0,30,5,0.167,0,0,1,1,35,0.143,0,0
237.0,79,79.0,3.292,3.0,0,0,0,0,0,23,1,0.5,0,0,1,0,24,0.042,0,0
168.0,56,56.0,1.273,3.0,0,0,1,0,0,31,13,0.071,0,0,1,1,44,0.295,0,0
275.0,55,55.0,2.037,5.0,0,1,1,0,0,22,5,0.167,0,0,1,0,27,0.185,0,0
249.0,83,83.0,2.964,3.0,0,1,1,0,0,22,6,0.143,0,0,1,0,28,0.214,0,0
225.0,75,75.0,2.206,3.0,0,0,0,0,0,27,7,0.125,1,1,1,0,34,0.206,0,0
340.0,68,68.0,1.447,5.0,0,0,0,0,0,44,3,0.25,0,0,1,0,47,0.064,1,0
300.0,60,60.0,1.935,5.0,0,1,0,0,0,25,6,0.143,0,0,1,0,31,0.194,0,0
316.0,79,39.5,2.633,4.0,0,1,1,0,0,25,5,0.333,0,0,2,0,30,0.167,0,0
147.0,49,49.0,1.167,3.0,0,0,0,0,1,27,15,0.062,0,1,1,0,42,0.357,0,0
147.0,49,16.333,1.441,3.0,0,0,1,0,1,31,3,0.75,0,0,3,0,34,0.088,0,0
255.0,51,51.0,1.308,5.0,0,0,1,0,1,29,10,0.091,0,0,1,0,39,0.256,0,0
260.0,65,65.0,1.625,4.0,0,1,0,0,0,29,11,0.083,0,1,1,1,40,0.275,0,0
116.0,58,58.0,1.208,2.0,0,1,0,0,0,46,2,0.333,1,0,1,1,48,0.042,0,0
332.0,83,83.0,3.32,4.0,0,0,0,0,0,21,4,0.2,0,0,1,0,25,0.16,0,0
53.0,53,26.5,1.082,1.0,0,0,1,0,1,45,4,0.4,0,1,2,0,49,0.082,0,0
324.0,81,81.0,2.189,4.0,0,0,0,0,0,29,8,0.111,0,0,1,0,37,0.216,0,0
320.0,64,32.0,1.829,5.0,0,0,1,0,0,28,7,0.25,0,0,2,1,35,0.2,0,1
50.0,50,25.0,1.064,1.0,0,0,1,0,1,39,8,0.222,0,1,2,0,47,0.17,0,0
165.0,55,55.0,1.41,3.0,0,1,1,0,0,34,5,0.167,0,0,1,1,39,0.128,0,0
240.0,48,48.0,1.92,5.0,0,1,0,0,1,23,2,0.333,1,0,1,0,25,0.08,0,0
300.0,75,75.0,1.786,4.0,0,0,1,0,0,35,7,0.125,0,1,1,0,42,0.167,1,0
237.0,79,79.0,2.821,3.0,0,1,0,0,0,27,1,0.5,0,0,1,0,28,0.036,0,1
171.0,57,57.0,2.192,3.0,0,0,0,0,0,21,5,0.167,1,0,1,1,26,0.192,0,0
85.0,85,42.5,2.237,1.0,0,0,1,0,0,31,7,0.25,0,1,2,0,38,0.184,0,0
252.0,63,63.0,2.333,4.0,0,1,0,0,0,25,2,0.333,0,0,1,0,27,0.074,0,0
212.0,53,53.0,1.963,4.0,0,0,0,0,0,25,2,0.333,0,0,1,0,27,0.074,0,0
144.0,48,48.0,1.412,3.0,0,0,1,0,0,28,6,0.143,1,0,1,0,34,0.176,0,0
246.0,82,41.0,3.28,3.0,0,1,1,0,0,24,1,1.0,0,0,2,0,25,0.04,0,0
174.0,58,58.0,1.812,3.0,0,0,0,0,0,26,6,0.143,0,0,1,0,32,0.188,0,0
156.0,78,39.0,2.6,2.0,0,0,0,0,0,28,2,0.667,0,0,2,0,30,0.067,0,0
249.0,83,83.0,2.184,3.0,0,0,1,0,0,29,9,0.1,1,1,1,0,38,0.237,0,0
261.0,87,43.5,3.222,3.0,0,0,1,0,0,24,3,0.5,0,0,2,0,27,0.111,0,0
213.0,71,35.5,2.448,3.0,0,1,1,0,0,22,7,0.25,0,0,2,0,29,0.241,1,0
200.0,50,50.0,1.429,4.0,0,1,1,0,1,27,8,0.111,0,0,1,0,35,0.229,0,0
172.0,43,43.0,1.229,4.0,0,1,1,0,1,28,7,0.125,0,0,1,0,35,0.2,0,1
405.0,81,40.5,1.8,5.0,0,0,0,0,0,41,4,0.4,1,0,2,0,45,0.089,0,0
183.0,61,30.5,1.906,3.0,0,1,1,0,0,26,6,0.286,1,0,2,0,32,0.188,0,0
156.0,52,52.0,2.476,3.0,0,1,1,0,1,20,1,0.5,0,0,1,0,21,0.048,0,0
150.0,50,25.0,1.724,3.0,0,0,1,0,1,28,1,1.0,0,0,2,0,29,0.034,0,0
138.0,69,69.0,1.816,2.0,0,1,1,0,0,27,11,0.083,1,0,1,0,38,0.289,1,0
186.0,62,62.0,2.48,3.0,0,0,0,0,0,24,1,0.5,0,0,1,0,25,0.04,0,0
425.0,85,85.0,3.148,5.0,0,0,0,0,0,24,3,0.25,0,0,1,0,27,0.111,0,1
355.0,71,71.0,1.919,5.0,0,0,1,0,0,29,8,0.111,1,0,1,0,37,0.216,1,0
44.0,44,44.0,1.073,1.0,0,0,1,0,1,28,13,0.071,0,0,1,0,41,0.317,0,0
124.0,62,31.0,1.442,2.0,0,0,1,0,0,39,4,0.4,0,1,2,1,43,0.093,0,0
180.0,60,60.0,2.222,3.0,0,0,1,0,0,24,3,0.25,0,0,1,0,27,0.111,0,0
147.0,49,24.5,1.815,3.0,0,0,0,0,1,25,2,0.667,0,0,2,0,27,0.074,0,0
252.0,63,63.0,1.167,4.0,0,1,0,0,0,29,25,0.038,1,0,1,1,54,0.463,0,0
252.0,84,84.0,2.1,3.0,0,0,1,0,0,34,6,0.143,0,0,1,0,40,0.15,0,0
124.0,62,62.0,1.771,2.0,0,0,1,0,0,27,8,0.111,0,0,1,1,35,0.229,0,0
138.0,69,69.0,1.769,2.0,0,1,0,0,0,32,7,0.125,1,1,1,1,39,0.179,0,1
53.0,53,53.0,1.039,1.0,0,1,1,0,1,32,19,0.05,0,1,1,0,51,0.373,0,0
305.0,61,61.0,2.259,5.0,0,0,1,0,0,25,2,0.333,0,0,1,0,27,0.074,0,0
162.0,81,81.0,2.7,2.0,0,1,0,0,0,25,5,0.167,0,0,1,0,30,0.167,0,0
310.0,62,31.0,1.442,5.0,0,0,1,0,0,38,5,0.333,1,1,2,0,43,0.116,0,0
147.0,49,24.5,1.441,3.0,0,1,1,0,1,27,7,0.25,0,0,2,0,34,0.206,0,0
171.0,57,28.5,1.839,3.0,0,1,1,0,0,24,7,0.25,1,0,2,0,31,0.226,0,0
87.0,87,87.0,2.289,1.0,0,0,1,0,0,33,5,0.167,0,1,1,0,38,0.132,0,0
102.0,51,51.0,1.594,2.0,0,1,1,0,0,25,7,0.125,0,0,1,0,32,0.219,0,0
135.0,45,22.5,1.667,3.0,0,0,1,0,1,26,1,1.0,0,0,2,0,27,0.037,0,0
200.0,50,50.0,1.724,4.0,0,0,1,0,1,24,5,0.167,0,0,1,0,29,0.172,0,0
68.0,68,68.0,2.429,1.0,0,0,0,0,0,22,6,0.143,0,0,1,0,28,0.214,1,0
292.0,73,36.5,2.212,4.0,0,0,1,0,0,31,2,0.667,1,0,2,1,33,0.061,0,1
455.0,91,30.333,2.333,5.0,0,0,0,0,0,37,2,1.0,0,0,3,0,39,0.051,0,1
141.0,47,47.0,1.068,3.0,0,1,1,0,1,33,11,0.083,0,1,1,0,44,0.25,0,0
208.0,52,52.0,1.576,4.0,0,0,0,0,1,29,4,0.2,1,1,1,0,33,0.121,0,0
208.0,52,52.0,1.444,4.0,0,1,1,0,1,34,2,0.333,0,1,1,0,36,0.056,0,0
50.0,50,50.0,0.893,1.0,0,0,0,0,1,41,15,0.062,1,0,1,0,56,0.268,0,0
245.0,49,49.0,1.289,5.0,0,0,1,0,1,28,10,0.091,0,1,1,0,38,0.263,0,0
57.0,57,57.0,1.326,1.0,0,1,1,0,0,37,6,0.143,1,0,1,0,43,0.14,0,0
260.0,65,65.0,2.241,4.0,0,0,1,0,0,27,2,0.333,0,0,1,1,29,0.069,0,0
44.0,44,44.0,1.571,1.0,0,1,1,0,1,26,2,0.333,0,0,1,0,28,0.071,0,0
153.0,51,51.0,1.02,3.0,0,0,1,0,1,41,9,0.1,0,0,1,0,50,0.18,0,0
330.0,66,66.0,1.222,5.0,0,0,1,0,0,35,19,0.05,1,1,1,0,54,0.352,1,0
195.0,65,16.25,2.167,3.0,0,1,1,0,0,25,5,0.667,0,0,4,0,30,0.167,1,0
245.0,49,49.0,1.324,5.0,0,0,0,0,1,35,2,0.333,1,1,1,0,37,0.054,0,0
183.0,61,61.0,2.179,3.0,0,1,0,0,0,27,1,0.5,0,0,1,1,28,0.036,0,0
305.0,61,61.0,1.694,5.0,0,0,0,0,0,34,2,0.333,0,1,1,1,36,0.056,0,0
150.0,50,50.0,1.852,3.0,0,0,1,0,1,23,4,0.2,0,0,1,0,27,0.148,0,0
222.0,74,37.0,2.96,3.0,0,0,0,0,0,20,5,0.333,1,0,2,0,25,0.2,1,0
246.0,82,41.0,3.037,3.0,0,0,1,0,0,26,1,1.0,0,0,2,0,27,0.037,0,0
230.0,46,46.0,1.533,5.0,0,0,1,0,1,24,6,0.143,0,0,1,0,30,0.2,0,0
290.0,58,58.0,1.871,5.0,0,1,1,0,0,27,4,0.2,1,0,1,1,31,0.129,0,0
250.0,50,50.0,1.471,5.0,0,1,0,0,0,27,7,0.125,0,1,1,0,34,0.206,0,0
222.0,74,18.5,2.176,3.0,0,1,0,0,0,25,9,0.4,1,0,4,0,34,0.265,1,0
147.0,49,49.0,1.324,3.0,0,0,1,0,1,29,8,0.111,1,0,1,0,37,0.216,0,0
237.0,79,79.0,2.548,3.0,0,1,0,0,0,27,4,0.2,0,0,1,0,31,0.129,0,0
248.0,62,62.0,2.214,4.0,0,0,1,0,0,25,3,0.25,0,0,1,0,28,0.107,0,0
180.0,60,60.0,2.069,3.0,0,1,0,0,0,27,2,0.333,0,0,1,0,29,0.069,0,0
305.0,61,61.0,1.356,5.0,0,1,1,0,0,42,3,0.25,0,0,1,1,45,0.067,0,0
112.0,56,56.0,1.867,2.0,0,0,1,0,0,24,6,0.143,0,0,1,1,30,0.2,0,0
250.0,50,50.0,1.786,5.0,0,0,1,0,1,23,5,0.167,0,0,1,0,28,0.179,0,0
159.0,53,53.0,1.767,3.0,0,1,1,0,1,27,3,0.25,0,0,1,0,30,0.1,0,0
445.0,89,89.0,2.171,5.0,0,0,1,0,0,38,3,0.25,0,1,1,0,41,0.073,0,0
455.0,91,91.0,3.25,5.0,0,0,1,0,0,23,5,0.167,0,0,1,0,28,0.179,0,1
328.0,82,82.0,3.154,4.0,0,0,1,0,0,24,2,0.333,0,0,1,0,26,0.077,0,0
210.0,70,23.333,2.5,3.0,0,0,1,0,0,27,1,1.5,0,0,3,0,28,0.036,1,0
216.0,54,54.0,1.862,4.0,0,0,1,0,1,23,6,0.143,0,0,1,0,29,0.207,0,0
154.0,77,77.0,2.852,2.0,0,0,1,0,0,25,2,0.333,0,0,1,0,27,0.074,0,0
98.0,49,24.5,1.324,2.0,0,0,1,0,1,31,6,0.286,0,0,2,0,37,0.162,0,0
425.0,85,42.5,2.429,5.0,0,1,1,0,0,33,2,0.667,0,0,2,0,35,0.057,0,0
252.0,84,42.0,2.897,3.0,0,1,1,0,0,28,1,1.0,0,0,2,0,29,0.034,0,1
50.0,50,16.667,1.613,1.0,0,1,1,0,1,24,7,0.375,1,0,3,0,31,0.226,0,0
243.0,81,81.0,2.893,3.0,0,1,0,0,0,27,1,0.5,1,0,1,0,28,0.036,0,0
156.0,52,52.0,1.209,3.0,0,0,1,0,1,31,12,0.077,0,1,1,0,43,0.279,0,0
116.0,58,58.0,2.148,2.0,0,0,0,0,0,25,2,0.333,0,0,1,1,27,0.074,0,0
207.0,69,69.0,2.3,3.0,0,1,1,0,0,26,4,0.2,1,1,1,0,30,0.133,1,0
320.0,80,40.0,2.581,4.0,0,0,1,0,0,29,2,0.667,0,0,2,0,31,0.065,0,0
153.0,51,51.0,1.214,3.0,0,0,1,0,1,27,15,0.062,0,0,1,0,42,0.357,0,0
320.0,64,32.0,1.829,5.0,0,0,1,0,0,28,7,0.25,0,1,2,1,35,0.2,0,0
320.0,64,64.0,2.065,5.0,0,0,0,0,0,27,4,0.2,0,0,1,1,31,0.129,0,0
108.0,54,54.0,1.174,2.0,0,1,0,0,1,38,8,0.111,1,0,1,0,46,0.174,0,0
